Code,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31
600386.SH,0.0000,"4,383.9467","4,510.6570","4,548.6327","4,594.0402","4,587.4594","4,960.1679","4,827.4268","4,616.6219","4,688.7677","4,807.4054","4,533.5624","5,121.7961","4,785.5828","3,771.7475","3,556.2866","3,670.2062","3,491.2783","3,639.4089","3,462.0510","3,539.9328","3,463.9071","3,456.5865","3,359.2630","2,641.1893","2,693.0221","2,646.9795","2,578.2622","2,755.9804","2,587.3818","2,475.7114","2,397.7722","2,417.4755","2,390.1690","2,390.7248","2,331.5778","2,285.2480","2,202.2732","2,167.8425","2,124.9904","2,059.7260","1,965.8891","2,011.1972","1,912.3435","1,801.7244","1,697.1597","1,650.6267","1,687.5405","2,077.0015","2,075.7350"
600556.SH,0.0000,"4,190.6764","4,232.2670","4,089.0844","1,909.4070","1,745.5766","1,987.7426",75.8236,80.2903,101.3326,107.2599,112.2875,116.8983,122.3162,125.7687,127.7712,126.9381,132.1084,288.1896,139.8278,125.4279,123.0464,124.6062,109.6925,106.7790,62.2678,54.4726,62.1111,55.3082,56.6961,54.9896,50.9428,50.2033,49.9828,51.4628,31.0161,36.8137,38.0258,31.7207,30.7701,31.4082,33.5067,34.0597,29.7474,32.4991,30.9176,73.9958,703.9127,754.8140,861.6589
600986.SH,"8,043.2944","6,960.1957","7,011.5219","7,550.6217","7,375.8632","7,276.9118","8,275.4751","11,049.6652","10,654.6816","10,338.5341","10,311.5219","11,236.4300","11,253.0143","10,621.7097","10,649.6680","10,088.7710","10,130.6644","7,738.1159","8,163.6161","8,446.7577","8,520.8887","8,553.3311","8,884.5200","9,130.7093","5,209.4121","4,954.4781","4,641.3476","4,492.4718","4,422.4700","3,964.7077","4,128.0690","3,710.5382","3,347.3258","2,812.4418","2,795.2328","2,584.1981","2,399.7690","2,229.9122","2,407.9711","2,221.1330","1,912.0211","1,949.9154","1,959.3049","1,679.3150","1,557.2154","1,387.3215","1,468.8087","1,322.2325","1,396.5259","1,687.1945"
603598.SH,0.0000,"1,795.8386","2,096.8449","1,892.6692","1,616.9995","1,551.2663","1,617.1814","1,881.4401","1,696.1007","1,684.8674","1,759.7396","1,991.2006","2,139.8699","2,099.9327","2,039.1875",987.1608,902.1701,966.5899,892.5560,891.4516,900.5559,788.4168,902.2585,835.2700,838.8780,581.0475,591.8958,0.0000,0.0000,0.0000,459.7923,0.0000,0.0000,0.0000,383.8664,0.0000,0.0000,0.0000,268.1735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
603729.SH,"1,074.1227","1,054.0634","1,048.5223","1,097.0815","1,073.4318","1,167.4291","1,134.7188","1,051.6111","1,188.2020","1,264.7285","1,277.4904","1,719.3841","1,606.4630","1,597.5983","1,151.8656",974.3494,938.8615,862.7455,879.1087,915.0136,960.5798,"1,114.5381","1,106.8119","1,214.7770","1,234.9692","1,262.0584",759.6186,723.9775,725.0028,0.0000,626.1206,0.0000,0.0000,0.0000,531.6881,0.0000,0.0000,0.0000,408.4349,0.0000,417.5166,0.0000,338.9720,0.0000,0.0000,0.0000,173.9828,0.0000,0.0000,0.0000
603825.SH,0.0000,"6,728.4376","6,903.7496","6,108.8806","6,033.3421","5,912.3131","6,075.3479","7,129.2876","6,713.3869","6,488.9608","6,212.0516","5,429.6589","5,418.4846","4,651.2157","4,763.0161","4,459.0868","3,853.7885","3,706.7982","3,923.9330",0.0000,0.0000,0.0000,"2,806.2416",0.0000,"1,952.2468",0.0000,"1,602.1792",0.0000,0.0000,0.0000,"1,328.0596",0.0000,0.0000,0.0000,890.5530,0.0000,0.0000,0.0000,619.5925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
605168.SH,0.0000,"2,360.7491","2,432.7087","1,997.8565","2,225.8947",847.0119,849.5428,0.0000,815.0888,0.0000,655.6430,0.0000,0.0000,0.0000,521.9856,0.0000,0.0000,0.0000,303.3110,0.0000,198.1247,0.0000,151.0541,0.0000,115.2249,0.0000,80.6842,72.6990,0.0000,0.0000,80.7500,0.0000,0.0000,0.0000,50.5991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000681.SZ,0.0000,"4,056.0355","4,038.7645","4,038.4514","4,093.9052","4,156.1244","4,117.1792","4,209.7392","4,068.6545","4,146.6156","4,230.0247","4,279.5383","4,243.8071","3,978.0982","4,099.4653","3,863.9970","3,675.5132","3,497.6064","3,523.5665","3,415.4620","2,833.8400","2,809.4877","2,770.1248","2,439.6120","1,571.9513","1,551.5621","1,523.7047","1,454.1550","1,423.9804",218.3973,208.5954,213.5340,218.0713,208.7505,194.7487,192.6695,144.3461,140.2651,141.5252,123.3372,126.5196,129.3539,132.1129,131.0784,130.3894,133.3742,140.3281,123.0021,127.6672,152.2287
002095.SZ,0.0000,"1,599.9490","1,635.3425","1,621.1856","1,662.3733","1,617.8225","1,595.3459","1,594.7021","1,546.2154","1,531.1642","1,497.0734","1,503.0230","1,461.2755","1,395.8729","1,294.7312","1,246.3051","1,212.2778","1,206.9034","1,189.1152","1,190.8046",628.1662,598.7065,591.8456,592.3072,592.2290,590.9181,589.2606,579.3986,570.4380,599.5780,593.5710,573.0656,562.8939,575.5209,565.7469,544.5143,531.3582,542.3441,525.4613,512.5159,508.1411,512.9355,507.0388,486.6775,469.5935,478.7094,475.4458,456.5798,446.7559,443.6193
002188.SZ,0.0000,54.5216,58.6106,69.5715,80.0856,105.0516,109.5812,118.4135,122.4162,132.3768,177.8326,608.5594,632.0370,665.8415,717.4881,"2,363.1851","2,324.6245","2,369.1131","2,353.9683","2,259.9083","2,201.9136","2,201.4197","2,232.1244",313.9485,320.4035,324.4604,335.1272,341.1723,339.3379,340.8085,356.4239,338.9565,349.5495,343.6339,367.6020,402.3322,396.2720,398.9218,413.3006,458.0753,459.8274,464.3784,462.6767,508.6983,501.1029,483.0479,497.4266,485.9112,483.5101,427.0047
