Code,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31
300604.SZ,0,0.6487,2.3915,1.6865,1.0423,0.4094,2.0480,0.9756,0.7445,0.3491,1.7919,1.2843,0.8450,0.3637,1.5824,1.0051,0.6421,0.2064,1.4366,0.8210,0.6407,0.1984,1.8003,0,0.9587,0,2.4987,0,0,0,2.5630,0,0,0,1.4869,0,0,0,0,0,0,0,0,0,0,0
300613.SZ,0,1.5251,4.1223,3.2477,2.5285,1.0466,3.6569,2.8397,1.8468,0.9201,3.4424,2.6882,1.8047,0.8976,5.6229,5.0672,3.0155,1.8061,8.0922,7.0515,3.9007,2.0748,8.4152,0,0,0,21.6564,0,0,0,13.8532,0,0,0,5.5131,0,0,0,0,0,0,0,0,0,0,0
300623.SZ,0,1.3009,4.3618,3.0670,1.9051,0.7997,4.0921,3.0522,1.8995,0.9364,4.4282,3.2619,2.0586,0.9851,4.2886,3.1778,2.0558,0.9913,4.3201,3.7529,2.3540,1.0584,4.0647,0,0,0,4.2258,0,1.9211,0,4.3331,0,0,0,4.7898,0,0,0,4.8835,0,0,0,0,0,0,0
300661.SZ,0,6.1189,16.4979,7.4526,6.2255,2.9194,13.8306,9.1959,7.5714,3.7977,16.6516,15.3067,9.0379,4.2665,14.1527,9.5110,6.0701,2.6941,14.2318,12.4098,7.8603,0,18.4259,0,0,5.9028,16.6882,0,0,0,12.8468,0,0,0,13.9732,0,0,0,0,0,0,0,0,0,0,0
300666.SZ,0,1.1275,4.9684,3.6252,2.3527,1.0722,4.8560,3.6251,2.5079,1.2482,5.2198,3.9012,2.4320,1.2206,5.3037,3.9328,2.7991,1.4293,5.7789,4.7142,2.9533,1.3692,5.0038,0,2.2629,0,5.1284,0,0,0,5.0546,0,0,0,4.5213,0,0,0,0,0,0,0,0,0,0,0
300671.SZ,2.0442,0.6119,2.2054,1.4731,0.8285,0.3382,2.2315,1.6728,1.0412,0.4696,2.3943,1.7412,1.1802,0.5295,2.7314,1.9426,1.3603,0.6100,2.8788,2.3700,1.5041,0.5921,2.9893,0,0,0,3.2590,0,0,0,2.8931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300672.SZ,0,2.7502,3.5875,1.3852,0.8718,0.2174,2.3268,1.0570,0.5379,0.1520,2.1763,0.9043,0.5274,0.1980,2.9508,1.0241,0.7701,0.2725,4.6965,2.6315,2.3679,0.4924,6.3895,0,0,0,5.7945,0,0,0,3.0084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300706.SZ,0,0.7463,3.0011,2.0829,1.0704,0.5252,2.9799,2.0616,1.3861,0.4739,2.4774,1.6963,1.1360,0.5468,2.8529,1.9693,1.4043,0.7293,2.9192,2.4063,0,0,2.5380,0,0,0,2.2479,0,0,0,2.2759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300782.SZ,0,2.5873,7.7992,3.6123,2.4333,1.2418,7.1383,6.6345,5.9801,3.2614,11.4811,0,0,2.3605,14.1011,8.6051,0,0,17.6143,0,0,0,13.6950,0,0,0,10.3235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300831.SZ,0,0.1762,0.8387,0.6163,0.4376,0.0881,1.1654,0,0,0,1.2147,0,0.6969,0,1.7524,0,0,0,1.4579,0,0,0,1.2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300842.SZ,0,1.1359,4.0564,2.7104,1.6213,0.8028,5.5911,0,2.7115,0,5.1523,0,3.0335,0,10.0936,0,0,0,10.4927,0,0,0,5.0858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600171.SH,0,1.4089,5.9831,4.4169,2.9071,1.3996,5.8011,4.1782,2.6507,1.2751,6.0269,4.8667,3.0532,1.4525,5.4202,4.4478,2.8398,1.3023,4.8578,3.5098,2.3200,1.0849,4.3091,3.1215,2.0186,0.9690,3.3407,2.3792,1.4527,0.6773,3.3225,2.3559,1.5490,0.7003,3.6936,2.5769,1.5951,0.7796,3.6894,2.7777,1.8428,0.9041,4.1700,3.0671,2.0365,1.0015
600206.SH,0,7.5003,47.5137,22.7337,15.0666,5.7611,47.3739,24.2436,13.8927,5.5275,25.5226,11.6098,7.3132,3.8443,22.3121,9.7340,6.6208,3.6681,24.4247,13.8173,7.0973,3.0386,18.4560,10.4268,7.2304,3.8436,18.7019,8.0031,5.6724,2.3601,4.8094,3.1364,2.1031,1.0367,4.5796,3.0879,1.7578,0.8560,5.7121,4.3937,2.7686,1.3004,4.9719,3.5581,2.0877,0.8726
600360.SH,0,1.1832,4.0683,2.9417,1.8821,0.8635,3.7315,2.7433,1.6953,0.8781,3.9925,3.0102,2.0300,0.9449,4.2640,3.1932,2.0063,1.0302,3.9262,2.7506,1.7511,0.8135,3.8175,2.9011,1.7773,0.8318,3.8096,2.8842,1.9257,0.9119,4.2800,3.1130,2.0881,1.0463,4.6734,3.5650,2.4239,1.1841,5.1968,3.6214,2.3577,1.0706,4.5007,3.2317,2.0651,0.8464
600460.SH,0,1.1734,4.2435,2.9921,1.9306,0.8388,3.7905,2.7388,1.7771,0.8458,3.9474,2.9594,1.9005,0.8990,4.1069,3.0219,2.0044,0.9378,4.1147,2.9062,1.8642,0.8191,3.6741,2.7178,1.7991,0.8058,3.8395,2.8005,1.7800,0.8178,3.9079,2.8311,1.8047,0.8277,3.8352,2.8053,1.8376,0.8175,4.7541,3.3259,2.1894,1.0315,5.1747,3.7401,2.3128,1.0624
600584.SH,0,1.8381,7.3554,5.2113,3.7973,1.7967,7.6769,5.1450,3.3344,1.7463,8.4889,6.0260,3.8688,1.9077,8.5764,5.9882,4.0119,2.0491,8.3996,5.6771,3.8387,1.9652,8.4769,4.9029,4.2972,2.2104,10.0314,7.5820,4.6960,2.2166,9.5897,6.5451,4.3532,2.2049,10.0558,7.2771,4.6988,2.1675,9.2808,6.7345,4.4234,2.2437,8.7373,6.0825,3.6861,1.7924
600667.SH,0,1.0392,4.5771,3.2664,2.1774,0.9682,5.2959,3.8638,2.5571,1.2999,6.4348,4.1671,2.8622,1.3068,5.5204,3.1821,2.2105,0.9457,8.1814,6.2893,4.3875,2.2117,18.2876,6.3760,4.3974,2.2022,19.0635,6.6760,4.4638,2.2548,13.2507,5.5658,4.7824,2.4484,10.0822,7.3994,5.3796,2.4163,9.6078,7.5538,5.1420,2.4858,13.1760,5.1271,3.2864,1.4849
603005.SH,0,2.5455,9.7347,6.5612,4.1421,2.0911,6.5267,4.6379,2.9258,1.4628,7.2316,4.8182,3.0592,1.7254,6.3455,4.4128,2.8248,1.5174,6.3217,5.9782,4.3541,2.1803,7.9408,5.2297,3.4046,2.0519,8.4260,6.9996,4.3549,2.4519,9.5395,6.6048,4.8645,0,9.9621,0,0,0,13.2535,0,0,0,13.2342,0,0,0
603068.SH,0,1.2938,3.4204,2.2962,1.3334,0.5480,5.2937,3.4225,2.1621,1.0224,3.9138,0,0,0,4.6358,0,0,1.3795,6.3750,0,0,0,7.2368,0,0,0,6.6127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
